# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
8072at33090	Complete	L_sativa_g020293.t1	1255.0	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	L_sativa_g034345.t1	1341.8	854	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	L_sativa_g009902.t1	1051.8	715	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	L_sativa_g020008.t1	871.7	786	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	L_sativa_g010298.t1	1167.7	729	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	L_sativa_g008972.t1	1076.2	683	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	L_sativa_g030520.t1	1955.3	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	L_sativa_g002898.t1	1221.0	729	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	L_sativa_g018620.t1	1259.6	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	L_sativa_g046579.t1	1099.2	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	L_sativa_g038348.t1	1034.5	694	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	L_sativa_g040501.t1	1083.6	692	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	L_sativa_g048766.t1	890.4	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	L_sativa_g009136.t1	1061.6	815	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	L_sativa_g021775.t1	1002.9	558	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	L_sativa_g017874.t1	1396.7	828	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	L_sativa_g018457.t1	716.5	544	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	L_sativa_g019257.t1	724.5	431	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	L_sativa_g046279.t1	897.4	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	L_sativa_g007263.t1	1025.5	676	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	L_sativa_g028368.t1	572.3	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	L_sativa_g044876.t1	832.8	642	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
