# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
6512at33090	Complete	S_bicolor_g026033.t1	850.8	633	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Fragmented	S_bicolor_g003492.t1	604.3	408	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	S_bicolor_g023493.t1	1347.6	793	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	S_bicolor_g001971.t1	1186.6	815	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	S_bicolor_g004783.t1	1335.8	855	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	S_bicolor_g004155.t1	1050.5	732	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	S_bicolor_g005357.t1	822.0	786	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	S_bicolor_g017956.t1	1146.1	728	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	S_bicolor_g000387.t1	815.3	584	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	S_bicolor_g002887.t1	1962.4	1061	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	S_bicolor_g028005.t1	1204.5	730	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	S_bicolor_g009499.t1	1265.7	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	S_bicolor_g028158.t1	1075.6	704	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	S_bicolor_g003319.t1	996.3	680	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	S_bicolor_g019741.t1	1017.1	698	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	S_bicolor_g005091.t1	866.6	614	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	S_bicolor_g027180.t1	1073.1	800	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	S_bicolor_g011205.t1	1039.5	638	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	S_bicolor_g026260.t1	1405.5	817	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	S_bicolor_g015493.t1	658.3	541	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Missing
22618at33090	Complete	S_bicolor_g026246.t1	864.4	625	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
