# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
27607at33090	Complete	A_thaliana_g014220.t1	792.5	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	A_thaliana_g011357.t1	868.4	519	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	A_thaliana_g007117.t1	827.5	590	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	A_thaliana_g006687.t1	966.0	512	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	A_thaliana_g020134.t1	670.5	438	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	A_thaliana_g022919.t1	1206.1	695	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	A_thaliana_g020626.t1	680.6	455	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	A_thaliana_g005357.t1	990.1	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	A_thaliana_g018332.t1	936.0	555	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	A_thaliana_g020772.t1	750.0	514	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	A_thaliana_g012426.t1	1096.2	608	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	A_thaliana_g021205.t1	843.9	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	A_thaliana_g012129.t1	850.7	573	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	A_thaliana_g024410.t1	957.7	547	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	A_thaliana_g016849.t1	955.6	528	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	A_thaliana_g009998.t1	776.4	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	A_thaliana_g017931.t1	757.2	438	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	A_thaliana_g012436.t1	897.1	621	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	A_thaliana_g009738.t1	771.3	506	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	A_thaliana_g001501.t1	1067.8	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	A_thaliana_g024841.t1	743.9	431	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	A_thaliana_g011151.t1	733.5	506	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	A_thaliana_g018675.t1	851.1	440	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	A_thaliana_g024759.t1	824.0	426	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	A_thaliana_g013956.t1	645.2	451	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	A_thaliana_g024033.t1	657.3	481	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	A_thaliana_g024602.t1	901.0	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
