# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
13039at33090	Complete	A_thaliana_g015089.t1	1278.9	703	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	A_thaliana_g022326.t1	1097.4	705	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	A_thaliana_g006773.t1	1020.3	684	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	A_thaliana_g000198.t1	1059.2	694	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	A_thaliana_g011728.t1	902.6	619	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	A_thaliana_g021053.t1	1058.7	814	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	A_thaliana_g006595.t1	1095.7	650	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	A_thaliana_g013216.t1	1407.0	821	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	A_thaliana_g016489.t1	708.3	544	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	A_thaliana_g022220.t1	722.4	431	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	A_thaliana_g008219.t1	887.0	619	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	A_thaliana_g010285.t1	1076.6	674	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	A_thaliana_g005490.t1	571.4	439	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	A_thaliana_g000216.t1	829.8	628	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	A_thaliana_g020362.t1	923.9	684	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	A_thaliana_g000367.t1	1027.2	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	A_thaliana_g018393.t1	785.5	522	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	A_thaliana_g018483.t1	945.6	625	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	A_thaliana_g013500.t1	803.7	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	A_thaliana_g010790.t1	868.4	519	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	A_thaliana_g006742.t1	825.1	590	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	A_thaliana_g006362.t1	966.1	512	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	A_thaliana_g019183.t1	704.1	438	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	A_thaliana_g021805.t1	1206.1	695	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
